 Name                           Version    License                                                                                          
 Babel                          2.9.1      BSD License                                                                                      
 Jinja2                         3.0.3      BSD License                                                                                      
 MarkupSafe                     2.0.1      BSD License                                                                                      
 Pillow                         9.0.1      Historical Permission Notice and Disclaimer (HPND)                                               
 Pygments                       2.11.2     BSD License                                                                                      
 Sphinx                         4.4.0      BSD License                                                                                      
 alabaster                      0.7.12     BSD License                                                                                      
 autopep8                       1.6.0      MIT License                                                                                      
 certifi                        2021.10.8  Mozilla Public License 2.0 (MPL 2.0)                                                             
 charset-normalizer             2.0.11     MIT License                                                                                      
 colorama                       0.4.4      BSD License                                                                                      
 docutils                       0.17.1     BSD License; GNU General Public License (GPL); Public Domain; Python Software Foundation License 
 et-xmlfile                     1.1.0      MIT License                                                                                      
 flake8                         4.0.1      MIT License                                                                                      
 idna                           3.3        BSD License                                                                                      
 imagesize                      1.3.0      MIT License                                                                                      
 importlib-metadata             4.10.1     Apache Software License                                                                          
 mccabe                         0.6.1      MIT License                                                                                      
 openpyxl                       3.0.9      MIT License                                                                                      
 packaging                      21.3       Apache Software License; BSD License                                                             
 pipdeptree                     2.2.1      MIT License                                                                                      
 pycodestyle                    2.8.0      MIT License                                                                                      
 pyflakes                       2.4.0      MIT License                                                                                      
 pyparsing                      3.0.7      MIT License                                                                                      
 pyserial                       3.5        BSD License                                                                                      
 pytz                           2021.3     MIT License                                                                                      
 requests                       2.27.1     Apache Software License                                                                          
 rs232com                       0.0.1      MIT                                                                                              
 rstcheck                       3.3.1      MIT License                                                                                      
 snowballstemmer                2.2.0      BSD License                                                                                      
 sphinxcontrib-applehelp        1.0.2      BSD License                                                                                      
 sphinxcontrib-devhelp          1.0.2      BSD License                                                                                      
 sphinxcontrib-htmlhelp         2.0.0      BSD License                                                                                      
 sphinxcontrib-jsmath           1.0.1      BSD License                                                                                      
 sphinxcontrib-plantuml         0.22       BSD License                                                                                      
 sphinxcontrib-qthelp           1.0.3      BSD License                                                                                      
 sphinxcontrib-serializinghtml  1.1.5      BSD License                                                                                      
 sphinxcontrib-xlsxtable        1.0.0      MIT License                                                                                      
 toml                           0.10.2     MIT License                                                                                      
 urllib3                        1.26.8     MIT License                                                                                      
 zipp                           3.7.0      MIT License                                                                                      
